CHGOCA,ZCTA5
1,60626
1,60645
1,60660
2,60626
2,60645
2,60659
2,60660
3,60613
3,60640
4,60618
4,60625
4,60640
4,60659
4,60660
5,60613
5,60614
5,60618
5,60657
6,60613
6,60614
6,60657
7,60610
7,60614
7,60642
7,60647
7,60657
8,60610
8,60611
8,60642
8,60654
9,60068
9,60631
10,60630
10,60631
10,60646
10,60656
11,60630
11,60646
12,60630
12,60646
12,60659
12,60714
13,60625
13,60630
13,60646
13,60659
14,60618
14,60625
14,60630
14,60641
15,60630
15,60634
15,60641
15,60706
16,60618
16,60630
16,60641
17,60634
17,60707
18,60634
18,60707
19,60634
19,60639
19,60641
19,60707
20,60639
20,60641
20,60647
21,60618
21,60639
21,60641
21,60647
22,60614
22,60618
22,60622
22,60639
22,60642
22,60647
23,60612
23,60622
23,60624
23,60639
23,60647
23,60651
24,60610
24,60612
24,60622
24,60642
24,60647
24,60651
24,60654
24,60661
25,60624
25,60639
25,60644
25,60651
25,60707
25,60804
26,60624
27,60612
27,60624
28,60606
28,60607
28,60608
28,60612
28,60616
28,60654
28,60661
29,60608
29,60612
29,60623
29,60624
30,60608
30,60623
30,60632
31,60608
31,60616
32,60601
32,60602
32,60603
32,60604
32,60605
32,60606
32,60607
32,60654
33,60605
33,60616
34,60609
34,60616
35,60609
35,60616
35,60653
36,60653
37,60609
38,60609
38,60615
38,60653
39,60615
39,60653
40,60609
40,60615
40,60621
40,60637
41,60615
41,60637
42,60637
42,60649
43,60619
43,60637
43,60649
44,60619
44,60620
45,60617
45,60619
46,60617
46,60649
47,60619
48,60617
48,60619
49,60619
49,60620
49,60628
50,60619
50,60628
50,60633
51,60617
51,60633
52,60617
53,60628
53,60643
53,60827
54,60628
54,60827
55,60617
55,60633
56,60629
56,60632
56,60638
56,60804
57,60632
58,60609
58,60632
59,60608
59,60609
59,60632
60,60608
60,60609
60,60616
61,60609
62,60629
62,60632
63,60609
63,60629
63,60632
63,60636
64,60629
64,60638
65,60629
65,60652
66,60629
66,60636
67,60636
68,60620
68,60621
68,60636
69,60619
69,60620
69,60621
69,60637
70,60620
70,60629
70,60652
71,60620
72,60620
72,60643
72,60655
73,60620
73,60628
73,60643
74,60655
75,60628
75,60643
75,60655
76,60007
76,60018
76,60106
76,60131
76,60176
76,60631
76,60634
76,60656
76,60706
77,60640
77,60660
