inspection_date,results,latitude,longitude,location
6/9/2015,pass,41.87424299,-87.63347653,"(41.874242987183976, -87.63347653027343)"
6/9/2015,fail,41.8803397,-87.76592873,"(41.880339700741, -87.7659287270817)"
6/9/2015,fail,41.88174521,-87.65611111,"(41.88174521304043, -87.65611110962234)"
6/9/2015,pass,41.88694997,-87.62836812,"(41.88694996938017, -87.62836812398149)"
6/9/2015,fail,41.88743405,-87.68184949,"(41.88743405025222, -87.68184949426895)"
6/9/2015,pass,41.88982704,-87.63751199,"(41.88982704094863, -87.63751198892537)"
6/9/2015,pass,41.88982704,-87.63751199,"(41.88982704094863, -87.63751198892537)"
6/9/2015,pass,41.93194854,-87.70258033,"(41.93194853574754, -87.7025803277778)"
6/9/2015,pass,41.93339147,-87.66008188,"(41.933391473285816, -87.66008187872411)"
6/9/2015,fail,41.96273998,-87.72772872,"(41.96273998329415, -87.72772872228448)"
6/9/2015,fail,41.96273998,-87.72772872,"(41.96273998329415, -87.72772872228448)"
6/8/2015,pass,41.68971041,-87.64244175,"(41.68971041112793, -87.64244175487424)"
6/8/2015,pass,41.7222632,-87.58291763,"(41.722263198133774, -87.58291763461929)"
6/8/2015,pass,41.73591821,-87.6467597,"(41.73591820889565, -87.64675970233402)"
6/8/2015,fail,41.77709239,-87.60600378,"(41.777092394888655, -87.60600377956905)"
6/8/2015,fail,41.77993369,-87.68380601,"(41.77993369472401, -87.68380601273363)"
6/8/2015,pass,41.80940751,-87.60755179,"(41.80940750533229, -87.60755179176687)"
6/8/2015,fail,41.83026856,-87.67635307,"(41.830268564486104, -87.67635306666367)"
6/8/2015,pass,41.8444671,-87.70218434,"(41.84446709763938, -87.70218433900635)"
6/8/2015,fail,41.87424299,-87.63347653,"(41.874242987183976, -87.63347653027343)"
6/8/2015,pass,41.88314295,-87.66976711,"(41.88314294811615, -87.66976710838105)"
6/8/2015,pass,41.88418751,-87.64111967,"(41.884187507127805, -87.64111966683218)"
6/8/2015,pass,41.95439962,-87.66436309,"(41.95439962284545, -87.66436309454507)"
6/8/2015,pass,41.961521,-87.66626754,"(41.96152099910318, -87.6662675435087)"
6/8/2015,pass,41.97270689,-87.65962161,"(41.97270688665208, -87.6596216050827)"
6/8/2015,pass,41.97339413,-87.65695653,"(41.97339412511678, -87.65695652645591)"
6/8/2015,fail,41.97340854,-87.65584324,"(41.973408535904916, -87.6558432439348)"
6/8/2015,pass,41.98312217,-87.71329067,"(41.983122172716065, -87.71329067394565)"
6/8/2015,pass,41.98708903,-87.70159761,"(41.9870890263283, -87.70159760991616)"
