community_id,per_capita_income_(in_thousands),percentage_pass
1,23939,77.25
2,23040,79.04
3,35787,78.85
4,37524,79.91
5,57123,80.07
6,60058,80.53
7,71551,80.07
8,88669,81.53
9,40959,81.59
10,32875,83.08
11,27751,83.17
12,44164,82.76
13,26576,83.7
14,21323,82.87
15,24336,86.32
16,27249,81.91
17,26282,85.81
18,22014,85.81
19,15461,81.18
20,15089,79.98
21,20039,79.6
22,31908,78.27
23,13781,77.53
24,43198,80.2
25,15957,74.79
26,10934,80.09
27,12961,78.76
28,44689,80.8
29,12034,79.55
30,10402,79.53
31,16444,80.29
32,65526,83.47
33,59077,80.1
34,16148,82.73
35,23791,81.68
36,19252,76.19
37,10432,86.04
38,23472,80.46
39,35911,74.6
40,13785,78.6
41,39056,73.9
42,18672,71.84
43,19398,70.93
44,18881,72.69
45,24454,73.17
46,16579,73.79
47,12515,69.8
48,28887,73.17
49,17949,72.88
50,20588,71.38
51,14685,76
52,17104,76.36
53,16563,76.14
54,8201,73.3
55,22677,76
56,26353,82.19
57,16134,78.64
58,13089,81.97
59,16954,81.53
60,22694,81.97
61,12765,86.04
62,15754,80.71
63,12171,81.71
64,25113,85.26
65,16907,84.29
66,13231,81.26
67,11317,76.8
68,11888,75.67
69,17285,73.18
70,23482,80.92
71,15528,75.99
72,39523,79.01
73,19713,76.13
74,34381,87.98
75,27149,77.79
76,25828,86.15
77,33385,76.26
